CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
1.73%,258.1MiB / 1.941GiB,12.99%,945kB / 2.51MB,137MB / 24.6kB,52
12.38%,258.2MiB / 1.941GiB,12.99%,953kB / 2.53MB,138MB / 24.6kB,52
4.50%,258MiB / 1.941GiB,12.98%,965kB / 2.56MB,140MB / 24.6kB,52
3.82%,258.5MiB / 1.941GiB,13.01%,970kB / 2.58MB,141MB / 24.6kB,52
3.37%,258.4MiB / 1.941GiB,13.00%,982kB / 2.61MB,144MB / 24.6kB,52
2.91%,258.3MiB / 1.941GiB,13.00%,988kB / 2.62MB,144MB / 24.6kB,52
4.98%,260.6MiB / 1.941GiB,13.11%,1.01MB / 2.65MB,154MB / 24.6kB,52
5.43%,259.8MiB / 1.941GiB,13.08%,1.02MB / 2.67MB,157MB / 24.6kB,52
5.63%,259.5MiB / 1.941GiB,13.06%,1.03MB / 2.7MB,161MB / 24.6kB,52
16.31%,260MiB / 1.941GiB,13.08%,1.04MB / 2.72MB,165MB / 24.6kB,52
3.04%,259.7MiB / 1.941GiB,13.07%,1.05MB / 2.74MB,168MB / 24.6kB,52
9.45%,260.3MiB / 1.941GiB,13.10%,1.06MB / 2.78MB,171MB / 24.6kB,52
6.87%,260.3MiB / 1.941GiB,13.10%,1.07MB / 2.8MB,173MB / 24.6kB,52
2.60%,259.3MiB / 1.941GiB,13.05%,1.07MB / 2.82MB,174MB / 24.6kB,52
6.96%,259.1MiB / 1.941GiB,13.04%,1.08MB / 2.84MB,175MB / 24.6kB,52
1.33%,258.9MiB / 1.941GiB,13.03%,1.09MB / 2.85MB,176MB / 24.6kB,52
6.13%,264.7MiB / 1.941GiB,13.32%,1.1MB / 2.89MB,178MB / 24.6kB,52
10.12%,260.4MiB / 1.941GiB,13.10%,1.11MB / 2.91MB,182MB / 24.6kB,52
6.02%,260.8MiB / 1.941GiB,13.12%,1.12MB / 2.93MB,189MB / 24.6kB,52
1.95%,260.4MiB / 1.941GiB,13.10%,1.13MB / 2.96MB,190MB / 24.6kB,52
3.53%,260.1MiB / 1.941GiB,13.09%,1.14MB / 2.98MB,191MB / 24.6kB,52
10.78%,262MiB / 1.941GiB,13.19%,1.15MB / 3.01MB,197MB / 24.6kB,52
3.43%,261.1MiB / 1.941GiB,13.14%,1.15MB / 3.02MB,205MB / 24.6kB,52
4.00%,261MiB / 1.941GiB,13.13%,1.16MB / 3.04MB,212MB / 24.6kB,52
3.23%,261.6MiB / 1.941GiB,13.16%,1.17MB / 3.07MB,216MB / 24.6kB,52
3.16%,261.6MiB / 1.941GiB,13.16%,1.17MB / 3.08MB,220MB / 24.6kB,52
1.95%,261.3MiB / 1.941GiB,13.15%,1.18MB / 3.11MB,221MB / 24.6kB,52
4.36%,261.1MiB / 1.941GiB,13.14%,1.19MB / 3.14MB,222MB / 24.6kB,52
2.97%,260.9MiB / 1.941GiB,13.13%,1.2MB / 3.16MB,223MB / 24.6kB,52
3.25%,261.1MiB / 1.941GiB,13.14%,1.21MB / 3.18MB,225MB / 24.6kB,52
1.42%,260.6MiB / 1.941GiB,13.11%,1.22MB / 3.21MB,226MB / 24.6kB,52
10.38%,261.9MiB / 1.941GiB,13.18%,1.22MB / 3.23MB,232MB / 24.6kB,52
3.91%,260.9MiB / 1.941GiB,13.13%,1.23MB / 3.25MB,234MB / 24.6kB,52
5.10%,262.5MiB / 1.941GiB,13.21%,1.24MB / 3.27MB,237MB / 24.6kB,52
7.60%,264.4MiB / 1.941GiB,13.31%,1.25MB / 3.29MB,254MB / 24.6kB,52
1.80%,261.5MiB / 1.941GiB,13.16%,1.26MB / 3.31MB,255MB / 24.6kB,52
3.99%,262MiB / 1.941GiB,13.19%,1.26MB / 3.34MB,261MB / 24.6kB,52
0.58%,257.8MiB / 1.941GiB,12.97%,1.28MB / 3.39MB,411MB / 24.6kB,54
0.37%,257.8MiB / 1.941GiB,12.97%,1.28MB / 3.39MB,411MB / 24.6kB,54
8.79%,257.8MiB / 1.941GiB,12.97%,1.29MB / 3.41MB,411MB / 24.6kB,54
9.23%,257.9MiB / 1.941GiB,12.98%,1.3MB / 3.42MB,411MB / 24.6kB,54
4.51%,257.9MiB / 1.941GiB,12.98%,1.31MB / 3.45MB,411MB / 24.6kB,54
1.55%,258.4MiB / 1.941GiB,13.00%,1.31MB / 3.47MB,411MB / 24.6kB,54
2.22%,258.7MiB / 1.941GiB,13.02%,1.32MB / 3.5MB,411MB / 24.6kB,54
7.68%,258.8MiB / 1.941GiB,13.02%,1.33MB / 3.52MB,411MB / 24.6kB,54
11.40%,259MiB / 1.941GiB,13.03%,1.34MB / 3.54MB,411MB / 24.6kB,54
34.70%,264.6MiB / 1.941GiB,13.31%,1.35MB / 3.56MB,411MB / 24.6kB,54
7.40%,268.9MiB / 1.941GiB,13.53%,1.36MB / 3.59MB,411MB / 24.6kB,54
