CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
7.52%,262.9MiB / 1.941GiB,13.23%,1.85MB / 13MB,406MB / 28.7kB,45
3.38%,262.8MiB / 1.941GiB,13.23%,1.85MB / 13MB,406MB / 28.7kB,45
1.35%,262.9MiB / 1.941GiB,13.23%,1.86MB / 13MB,406MB / 28.7kB,45
1.23%,262.9MiB / 1.941GiB,13.23%,1.87MB / 13MB,406MB / 28.7kB,45
12.22%,262.9MiB / 1.941GiB,13.23%,1.87MB / 13MB,406MB / 28.7kB,45
0.97%,262.9MiB / 1.941GiB,13.23%,1.88MB / 13MB,406MB / 28.7kB,45
13.69%,262.9MiB / 1.941GiB,13.23%,1.89MB / 13.4MB,406MB / 28.7kB,45
4.38%,262.9MiB / 1.941GiB,13.23%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.54%,262.8MiB / 1.941GiB,13.22%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.40%,262.8MiB / 1.941GiB,13.22%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.58%,262.8MiB / 1.941GiB,13.22%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.54%,262.8MiB / 1.941GiB,13.22%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.48%,262.8MiB / 1.941GiB,13.22%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.62%,262.8MiB / 1.941GiB,13.22%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.76%,263.2MiB / 1.941GiB,13.24%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.42%,263.2MiB / 1.941GiB,13.24%,1.9MB / 13.4MB,406MB / 28.7kB,45
0.55%,263.2MiB / 1.941GiB,13.24%,1.9MB / 13.4MB,406MB / 28.7kB,45
